epoch,loss,lr,val_loss
0,0.0002459794341120869,1e-04,0.00024233463045675308
1,0.0002255076979054138,1e-04,0.00020475275232456625
2,0.00019405584316700697,1e-04,0.000169516570167616
3,0.00014829197607468814,1e-04,0.00012903711467515677
4,0.00011655774142127484,1e-04,0.0001104190232581459
5,0.00010351769742555916,1e-04,0.0001000543124973774
6,9.247925481759012e-05,1e-04,9.388999751536176e-05
7,8.402230014326051e-05,1e-04,7.673072104807943e-05
8,7.434318831656128e-05,1e-04,7.509998977184296e-05
9,6.209182902239263e-05,1e-04,5.807600246043876e-05
10,5.1894468924729154e-05,1e-04,5.5235635954886675e-05
11,4.540256122709252e-05,1e-04,5.059393515693955e-05
12,3.828859553323127e-05,1e-04,4.974627518095076e-05
13,3.506214852677658e-05,1e-04,4.276760228094645e-05
14,3.081258910242468e-05,1e-04,3.533021663315594e-05
15,2.744777884799987e-05,1e-04,3.403714072192088e-05
16,2.554914499341976e-05,1e-04,3.186716639902443e-05
17,2.2805959815741517e-05,1e-04,3.398831904632971e-05
18,2.243758899567183e-05,1e-04,2.9341978006414138e-05
19,2.1143245248822495e-05,1e-04,2.773660162347369e-05
20,1.961423367902171e-05,1e-04,3.477907011983916e-05
21,1.8516509953769855e-05,1e-04,2.5025055947480723e-05
22,1.6339965441147797e-05,1e-04,2.6440786314196885e-05
23,1.545502345834393e-05,1e-04,3.067460056627169e-05
24,1.706793045741506e-05,1e-04,2.339085222047288e-05
25,1.4192423805070575e-05,1e-04,2.6561794584267773e-05
26,1.420643093297258e-05,1e-04,2.6425183023093268e-05
27,1.2993464224564377e-05,1e-04,2.708041574805975e-05
28,1.3336328265722841e-05,1e-04,2.0895629859296605e-05
29,1.3637477422889788e-05,1e-04,2.090576890623197e-05
30,1.1085820005973801e-05,1e-04,2.5995639589382336e-05
31,1.0930050848401152e-05,1e-04,2.341350045753643e-05
32,1.0254528206132818e-05,1e-04,2.1140478565939702e-05
33,1.2124816748837475e-05,1e-04,2.7698402845999226e-05
34,9.484483598498628e-06,5e-05,2.29947308980627e-05
35,8.554055057174992e-06,5e-05,2.1474368622875772e-05
36,8.583825547248125e-06,5e-05,2.038804450421594e-05
37,8.298045941046439e-06,5e-05,2.0799250705749728e-05
38,8.037460247578565e-06,5e-05,2.370695256104227e-05
39,7.859164725232404e-06,5e-05,2.28586868615821e-05
40,7.939006536616944e-06,5e-05,2.4250144633697346e-05
41,7.2674238253966905e-06,2.5e-05,2.1954776457278058e-05
42,6.907411716383649e-06,2.5e-05,2.1474255845532753e-05
43,6.836492502770852e-06,2.5e-05,2.08158053283114e-05
44,6.784418928873492e-06,2.5e-05,2.204189877375029e-05
45,6.830006441305159e-06,2.5e-05,2.171085543523077e-05
46,6.846855285402853e-06,2.5e-05,2.3721466277493164e-05
